Serial,Symbol,Company Name,Screener Stock Symbol,Screener Stock Url
193,FEDERALBNK,The Federal Bank  Limited,FEDERALBNK,https://www.screener.in/company/FEDERALBNK/consolidated/
194,IREDA,Indian Renewable Energy Development Agency Limited,IREDA,https://www.screener.in/company/IREDA/
195,VOLTAS,Voltas Limited,VOLTAS,https://www.screener.in/company/VOLTAS/consolidated/
196,DALBHARAT,Dalmia Bharat Limited,DALBHARAT,https://www.screener.in/company/DALBHARAT/consolidated/
197,POONAWALLA,Poonawalla Fincorp Limited,POONAWALLA,https://www.screener.in/company/POONAWALLA/consolidated/
198,MEDANTA,Global Health Limited,MEDANTA,https://www.screener.in/company/MEDANTA/consolidated/
199,IRB,IRB Infrastructure Developers Limited,IRB,https://www.screener.in/company/IRB/consolidated/
200,3MINDIA,3M India Limited,3MINDIA,https://www.screener.in/company/3MINDIA/
201,MFSL,Max Financial Services Limited,MFSL,https://www.screener.in/company/MFSL/consolidated/
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,MARUTI,https://www.screener.in/company/MARUTI/consolidated/
203,UPL,UPL Limited,UPL,https://www.screener.in/company/UPL/consolidated/
204,HONAUT,Honeywell Automation India Limited,HONAUT,https://www.screener.in/company/HONAUT/
205,BSE,BSE Limited,BSELINFRA,https://www.screener.in/company/BSELINFRA/consolidated/
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,FLUOROCHEM,https://www.screener.in/company/FLUOROCHEM/consolidated/
207,COFORGE,Coforge Limited,COFORGE,https://www.screener.in/company/COFORGE/consolidated/
208,LICHSGFIN,LIC Housing Finance Limited,LICHSGFIN,https://www.screener.in/company/LICHSGFIN/consolidated/
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO,https://www.screener.in/company/GLAXO/consolidated/
210,DELHIVERY,Delhivery Limited,DELHIVERY,https://www.screener.in/company/DELHIVERY/consolidated/
211,BDL,Bharat Dynamics Limited,BDL,https://www.screener.in/company/BDL/
212,STARHEALTH,Star Health and Allied Insurance Company Limited,STARHEALTH,https://www.screener.in/company/STARHEALTH/
213,FORTIS,Fortis Healthcare Limited,FORTIS,https://www.screener.in/company/FORTIS/consolidated/
214,BIOCON,Biocon Limited,BIOCON,https://www.screener.in/company/BIOCON/consolidated/
215,COROMANDEL,Coromandel International Limited,COROMANDEL,https://www.screener.in/company/COROMANDEL/consolidated/
216,NLCINDIA,NLC India Limited,NLCINDIA,https://www.screener.in/company/NLCINDIA/consolidated/
217,TATAINVEST,Tata Investment Corporation Limited,TATAINVEST,https://www.screener.in/company/TATAINVEST/consolidated/
218,JKCEMENT,JK Cement Limited,JKCEMENT,https://www.screener.in/company/JKCEMENT/consolidated/
219,IPCALAB,IPCA Laboratories Limited,IPCALAB,https://www.screener.in/company/IPCALAB/consolidated/
220,METROBRAND,Metro Brands Limited,METROBRAND,https://www.screener.in/company/METROBRAND/consolidated/
221,KEI,KEI Industries Limited,KEI,https://www.screener.in/company/KEI/
222,ESCORTS,Escorts Kubota Limited,ESCORTS,https://www.screener.in/company/ESCORTS/consolidated/
223,LLOYDSME,Lloyds Metals And Energy Limited,LLOYDSME,https://www.screener.in/company/LLOYDSME/
224,GLAND,Gland Pharma Limited,GLAND,https://www.screener.in/company/GLAND/consolidated/
225,IGL,Indraprastha Gas Limited,IGL,https://www.screener.in/company/IGL/
226,NAM-INDIA,Nippon Life India Asset Management Limited,NAM-INDIA,https://www.screener.in/company/NAM-INDIA/consolidated/
227,APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE,https://www.screener.in/company/APOLLOTYRE/consolidated/
228,JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD,https://www.screener.in/company/JUBLFOOD/consolidated/
229,POWERINDIA,Hitachi Energy India Limited,POWERINDIA,https://www.screener.in/company/POWERINDIA/
230,MSUMI,Motherson Sumi Wiring India Limited,MSUMI,https://www.screener.in/company/MSUMI/
231,BANDHANBNK,Bandhan Bank Limited,BANDHANBNK,https://www.screener.in/company/BANDHANBNK/
232,DEEPAKNTR,Deepak Nitrite Limited,DEEPAKNTR,https://www.screener.in/company/DEEPAKNTR/consolidated/
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,https://www.screener.in/company/ZFCVINDIA/
234,AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM,https://www.screener.in/company/AJANTPHARM/consolidated/
235,KPRMILL,K.P.R. Mill Limited,KPRMILL,https://www.screener.in/company/KPRMILL/consolidated/
236,SYNGENE,Syngene International Limited,SYNGENE,https://www.screener.in/company/SYNGENE/consolidated/
237,EIHOTEL,EIH Limited,EIHOTEL,https://www.screener.in/company/EIHOTEL/consolidated/
238,APARINDS,Apar Industries Limited,APARINDS,https://www.screener.in/company/APARINDS/consolidated/
239,NATIONALUM,National Aluminium Company Limited,NATIONALUM,https://www.screener.in/company/NATIONALUM/
240,TATACHEM,Tata Chemicals Limited,TATACHEM,https://www.screener.in/company/TATACHEM/consolidated/
241,GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK,https://www.screener.in/company/GLENMARK/consolidated/
242,HINDCOPPER,Hindustan Copper Limited,HINDCOPPER,https://www.screener.in/company/HINDCOPPER/
243,GODREJIND,Godrej Industries Limited,GODREJIND,https://www.screener.in/company/GODREJIND/consolidated/
244,NH,Narayana Hrudayalaya Ltd.,NHPC,https://www.screener.in/company/NHPC/consolidated/
245,BLUESTARCO,Blue Star Limited,BLUESTARCO,https://www.screener.in/company/BLUESTARCO/consolidated/
246,EXIDEIND,Exide Industries Limited,EXIDEIND,https://www.screener.in/company/EXIDEIND/consolidated/
247,ENDURANCE,Endurance Technologies Limited,ENDURANCE,https://www.screener.in/company/ENDURANCE/consolidated/
248,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,https://www.screener.in/company/JBCHEPHARM/consolidated/
249,PAYTM,One 97 Communications Limited,PAYTM,https://www.screener.in/company/PAYTM/consolidated/
250,ANGELONE,Angel One Limited,ANGELONE,https://www.screener.in/company/ANGELONE/consolidated/
251,MOTILALOFS,Motilal Oswal Financial Services Limited,MOTILALOFS,https://www.screener.in/company/MOTILALOFS/consolidated/
252,ITI,ITI Limited,ITI,https://www.screener.in/company/ITI/
253,360ONE,360 ONE WAM LIMITED,360ONE,https://www.screener.in/company/360ONE/consolidated/
254,CARBORUNIV,Carborundum Universal Limited,CARBORUNIV,https://www.screener.in/company/CARBORUNIV/consolidated/
255,AARTIIND,Aarti Industries Limited,AARTIIND,https://www.screener.in/company/AARTIIND/consolidated/
256,SUNTV,Sun TV Network Limited,SUNTV,https://www.screener.in/company/SUNTV/consolidated/
257,KIOCL,KIOCL Limited,KIOCL,https://www.screener.in/company/KIOCL/
258,ISEC,ICICI Securities Limited,ISEC,https://www.screener.in/company/ISEC/consolidated/
259,RADICO,Radico Khaitan Limited,RADICO,https://www.screener.in/company/RADICO/
260,SUNDRMFAST,Sundram Fasteners Limited,SUNDRMFAST,https://www.screener.in/company/SUNDRMFAST/consolidated/
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC,https://www.screener.in/company/CREDITACC/
262,COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP,https://www.screener.in/company/COCHINSHIP/
263,HATSUN,Hatsun Agro Product Limited,HATSUN,https://www.screener.in/company/HATSUN/
264,MANYAVAR,Vedant Fashions Limited,MANYAVAR,https://www.screener.in/company/MANYAVAR/consolidated/
265,CYIENT,Cyient Limited,CYIENT,https://www.screener.in/company/CYIENT/consolidated/
266,GET&D,GE T&D India Limited,543372,https://www.screener.in/company/543372/
267,BRIGADE,Brigade Enterprises Limited,BRIGADE,https://www.screener.in/company/BRIGADE/consolidated/
268,TIMKEN,Timken India Limited,TIMKEN,https://www.screener.in/company/TIMKEN/
269,NBCC,NBCC (India) Limited,NBCC,https://www.screener.in/company/NBCC/consolidated/
270,JBMA,JBM Auto Limited,JBMA,https://www.screener.in/company/JBMA/consolidated/
271,GILLETTE,Gillette India Limited,GILLETTE,https://www.screener.in/company/GILLETTE/
272,KANSAINER,Kansai Nerolac Paints Limited,KANSAINER,https://www.screener.in/company/KANSAINER/consolidated/
273,LAURUSLABS,Laurus Labs Limited,LAURUSLABS,https://www.screener.in/company/LAURUSLABS/consolidated/
274,GRINDWELL,Grindwell Norton Limited,GRINDWELL,https://www.screener.in/company/GRINDWELL/consolidated/
275,FIVESTAR,Five-Star Business Finance Limited,FIVESTAR,https://www.screener.in/company/FIVESTAR/
276,SWANENERGY,Swan Energy Limited,SWANENERGY,https://www.screener.in/company/SWANENERGY/consolidated/
